it
Detail=Detail,Dettaglio
Description=Description,Descrizione
MuzzleSafePlane=Muzzle safe plane,Angoli di sicurezza
EditStage=Edit stage,Modifica Stage
BackToMatch=Back to match,Torna alla gara
Stage=Stage,Stage
Index=Index,Ordine
Scenario=Scenario,Scenario
Strings=Strings,Stringhe
Rules=Rules,Regole
GunReadyCondition=Gun ready condition,Condizione di pronto
StageProcedure=Stage procedure,Procedura Stage
Notes=Notes,Note
Match=Match,Gara
MatchDirectors=Match directors,Direttori gara
NoMatchDirectors=NoMatch directors,Nessun direttore gara
NewStageSo=New stage SO,Nuovo SO
SO=SO,SO
Role=Role,Ruolo
NoSecurityOfficier=No SO,Nessun SO
Targets=Targets,Bersagli
Scoring=Scoring,Punteggio
TargetsDescription=Targets description,Descrizione bersagli
ScoredHits=Scored hits,Conteggio punti
StartStop=Start and stop,Start e stop
Distance=Distance,Distanza
CoverGarment=Cover garment,Vest
Yes=Yes,Sì
No=No,No
Groups=Groups,Gruppi
Name=Name,Nome
NoGroups=No groups,Nessun gruppo
Shooter=Shooter,Tiratore
WrongShooter=Wrong shooter,Tiratore sbagliato
WrongRole=Wrong role,Ruolo sbagliato
Close=Close,Chiudi
Submit=Submit,Invia
DeleteStageSo=Delete stage SO,DeleteStageSo
ConfirmDelete=Confirm delete,Conferma cancellazione
Yes=Yes,Sì
CallMatchDirectorModalTitle=Call match director,Chiama il direttore della gara
CallMatchDirectorSuccess=Call done,Chiama effettuata
CallMatchDirectorFail=Call failed,Chiama fallita
